Name,Brand,Price,CPU,RAM,Storage,GPU,URL
"Apple MacBook Air (13.6 inch, M4, 16GB, 256GB, macOS, Sky Blue)",,93990.0,,,,,https://www.croma.com/apple-macbook-air-13-6-inch-m4-16gb-256gb-macos-sky-blue-/p/314064
"DELL Inspiron 3530 Intel Core i5 13th Gen Thin and Light Laptop (16GB, 1TB SSD, Windows, 15.6 inch FHD Display, MS Office 2021, Platinum Silver, 1.65 KG)",,61990.0,,,,,https://www.croma.com/dell-inspiron-3530-intel-core-i5-13th-gen-thin-and-light-laptop-16gb-1tb-ssd-windows-15-6-inch-fhd-display-ms-office-2021-platinum-silver-1-65-kg-/p/300257
"Lenovo Ideapad 3 15IAU7 Intel Core i3 12th Gen Thin & Light Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office Home 2024, Arctic Grey, 1.63 KG)",,32990.0,,,,,https://www.croma.com/lenovo-ideapad-3-15iau7-intel-core-i3-12th-gen-thin-light-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-home-2024-arctic-grey-1-63-kg-/p/314019
"ASUS Vivobook 16 X1605VA-MB1627WS Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 16 inch WUXGA IPS Display, MS Office 2024, Cool Silver, 1.88 KG)",,59990.0,,,,,https://www.croma.com/asus-vivobook-16-x1605va-mb1627ws-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-16-inch-wuxga-ips-display-ms-office-2024-cool-silver-1-88-kg-/p/315070
"Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.3 inch WUXGA IPS Display, MS Office 2024, Luna Grey, 1.59 KG)",,60990.0,,,,,https://www.croma.com/lenovo-ideapad-slim-3-15irh10-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-3-inch-wuxga-ips-display-ms-office-2024-luna-grey-1-59-kg-/p/315078
"Apple MacBook Air (13.6 inch, M4, 16GB, 256GB, macOS, Silver)",,93990.0,,,,,https://www.croma.com/apple-macbook-air-13-6-inch-m4-16gb-256gb-macos-silver-/p/314066
"HP Core 14-gr0002TU Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 14 inch, Full HD Display, MS Office Home 2024, Natural Silver, 1.40 KG)",,56499.0,,,,,https://www.croma.com/hp-core-14-gr0002tu-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-14-inch-full-hd-display-ms-office-home-2024-natural-silver-1-40-kg-/p/315208
"Apple MacBook Pro (14.2 inch, M4, 16GB, 512GB, macOS Sequoia, Space Black)",,159990.0,,,,,https://www.croma.com/apple-macbook-pro-14-2-inch-m4-16gb-512gb-macos-sequoia-space-black-/p/310938
"Apple MacBook Air (13.6 inch, M2, 16GB, 256GB, macOS Sequoia, Midnight)",,80990.0,,,,,https://www.croma.com/apple-macbook-air-13-6-inch-m2-16gb-256gb-macos-sequoia-midnight-/p/311847
"Lenovo LOQ 15IAX9 Intel Core i5 12th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz IPS Display, NVIDIA GeForce RTX 3050, MS Office 2024, Luna Grey, 2.38 KG)",,72490.0,,,,,https://www.croma.com/lenovo-loq-15iax9-intel-core-i5-12th-gen-gaming-laptop-16gb-512gb-ssd-windows-11-home-6gb-graphics-15-6-inch-144-hz-ips-display-nvidia-geforce-rtx-3050-ms-office-2024-luna-grey-2-38-kg-/p/312746
