Brand,Screen Size,Color,RAM,Storage,GPU,CPU,Price
Lenovo,15.6,Grey,8,512.0,Integrated,AMD Ryzen,39990.0
Apple,15.3,Silver,24,512.0,Integrated,M3,129994.0
SAMSUNG,15.6,Gray,16,1000.0,Integrated,Intel Core,103990.0
DELL,15.6,Black,8,512.0,Integrated,AMD Ryzen,32990.0
Apple,13.6,Grey,8,512.0,Integrated,M3,95994.0
Apple,15.3,Silver,8,256.0,Integrated,M3,99994.0
ASUS,14.0,Gray,16,512.0,Integrated,Intel Core,80990.0
Apple,14.2,Silver,36,1000.0,Integrated,M3,259994.0
Apple,14.2,Silver,24,1000.0,Integrated,M4,197490.0
Apple,16.2,Silver,36,1000.0,Integrated,M3,289994.0
Apple,15.3,Grey,16,256.0,Integrated,M3,104994.0
Lenovo,15.6,Grey,8,256.0,Integrated,Intel Celeron,25990.0
Apple,14.2,Silver,36,1000.0,Integrated,M4,300990.0
Apple,14.2,Silver,24,1000.0,Integrated,M4 Pro,225990.0
Apple,13.6,Silver,8,512.0,Integrated,M3,95994.0
HP,14.0,Blue,32,1000.0,Integrated,Intel Core,141990.0
HP,14.0,Gray,32,1000.0,Integrated,Intel Core,180999.0
Apple,15.3,Silver,24,512.0,Integrated,M4,155490.0
HP,14.0,Silver,8,512.0,Integrated,Intel Core,37990.0
ASUS,16.0,Gray,32,1000.0,NVIDIA GeForce,Intel Core,259990.0
HP,14.0,Silver,16,1000.0,Integrated,Intel Core,139999.0
HP,15.6,Silver,16,512.0,Integrated,AMD Ryen,44990.0
ASUS,16.0,Black,32,2000.0,NVIDIA GeForce,Intel Core,379990.0
Apple,13.6,Silver,8,512.0,Integrated,M3,95994.0
Microsoft,13.8,Black,16,512.0,Integrated,Intel Core,137990.0
Apple,13.6,Silver,24,512.0,Integrated,M3,109994.0
Microsoft,15.0,Silver,8,256.0,Intel Iris Xe,Intel Core,134990.0
ASUS,16.0,Gray,32,1000.0,NVIDIA GeForce,Intel Core,299990.0
Apple,13.6,Silver,8,512.0,Integrated,M2,89994.0
Dell,14.0,Blue,16,512.0,Integrated,Intel Core,120599.0
ASUS,14.0,Gray,32,2000.0,NVIDIA GeForce,AMD Ryzen,279990.0
Microsoft,13.8,Black,16,512.0,Integrated,Intel Core,150990.0
MSI,15.6,Black,16,512.0,Integrated,AMD Ryzen,49990.0
Apple,16.2,Silver,48,1000.0,Integrated,M3,329994.0
Apple,16.2,Silver,48,512.0,Integrated,M4 Pro,272990.0
MSI,15.6,Gray,16,512.0,NVIDIA GeForce,Intel Core,74990.0
Apple,13.6,Grey,24,512.0,Integrated,M3,109994.0
Apple,15.3,Silver,16,256.0,Integrated,M4,117490.0
Apple,15.3,Silver,24,512.0,Integrated,M3,129994.0
Apple,14.2,Silver,16,1000.0,Integrated,M4,178990.0
SAMSUNG,15.9,Gray,16,512.0,Integrated,Intel Core,149990.0
SAMSUNG,13.3,Silver,16,1000.0,Intel Iris Xe,Intel Evo,133990.0
Apple,16.2,Black,48,1000.0,Integrated,M4,375990.0
DELL,14.0,Silver,8,1000.0,Intel Iris Xe,Intel Core,68790.0
Apple,15.3,Silver,24,512.0,Integrated,M4,155490.0
SAMSUNG,15.6,Gray,16,512.0,Integrated,Intel Core,122990.0
Microsoft,13.8,Silver,16,512.0,Integrated,Intel Core,137990.0
ASUS,14.0,Black,8,512.0,Integrated,AMD Ryen,29990.0
Microsoft,15.0,Black,16,512.0,Intel Iris Xe,Intel Core,182990.0
SAMSUNG,15.5,Gray,32,1000.0,Integrated,Intel Core,154990.0
SAMSUNG,15.9,Gray,32,1000.0,Integrated,Intel Core,181990.0
DELL,13.4,Silver,32,1000.0,Integrated,Intel Core,200499.0
DELL,14.5,Silver,32,1000.0,Integrated,Intel Core,257999.0
SAMSUNG,15.6,Gray,16,512.0,Integrated,Intel Core,122990.0
Microsoft,13.5,Black,16,512.0,Intel Iris Xe,Intel Core,172990.0
Lenovo,15.6,Grey,8,512.0,Integrated,Intel Core,47190.0
Apple,16.2,Silver,36,1000.0,Integrated,M4,328990.0
SAMSUNG,15.6,Gray,16,512.0,Integrated,Intel Core,114990.0
Lenovo,13.3,Silver,16,1000.0,Intel Iris Xe,Intel Core,217790.0
DELL,15.6,Silver,8,512.0,Integrated,Intel Core,39790.0
Lenovo,15.6,Grey,8,512.0,Integrated,AMD Ryzen,36490.0
MSI,15.6,Black,16,512.0,Integrated,AMD Ryzen,59990.0
Dell,14.0,Blue,16,1000.0,Integrated,Intel Core,120599.0
Dell,14.0,Blue,16,1000.0,Integrated,Intel Core,113499.0
Apple,13.6,Silver,24,512.0,Integrated,M4,131990.0
Microsoft,13.5,Silver,8,256.0,Intel Iris Xe,Intel Core,103990.0
HP,15.6,Silver,16,512.0,Integrated,AMD R7,49990.0
DELL,14.5,Silver,16,1000.0,Integrated,Intel Core,211099.0
HP,13.3,Silver,16,512.0,Integrated,AMD Ryzen,87999.0
MSI,16.0,Gray,16,512.0,Integrated,Intel Core,124990.0
Apple,14.2,Silver,8,512.0,Integrated,M3,109994.0
Lenovo,14.0,Grey,16,1000.0,Intel Iris Xe,Intel Core,91990.0
Lenovo,15.3,Grey,8,512.0,Integrated,AMD Ryzen,64990.0
Lenovo,15.3,Grey,32,1000.0,Integrated,Intel Core,147990.0
HP,14.0,Blue,32,1000.0,Integrated,Intel Core,180999.0
ASUS,14.0,Gray,32,1000.0,Integrated,Intel Core,239990.0
SAMSUNG,15.9,Gray,16,512.0,Integrated,Intel Core,155990.0
Lenovo,14.0,Silver,16,1000.0,Integrated,Intel Core,122990.0
FUJITSU,27.0,Silver,16,512.0,Intel Iris Xe,Intel Core,104490.0
acer,15.6,Black,8,1000.0,NVIDIA GTX,Intel Core,89999.0
DELL,15.6,Black,8,512.0,Integrated,Intel Core,38990.0
SAMSUNG,15.5,Gray,16,1000.0,Integrated,Intel Core,138990.0
DELL,16.3,Silver,32,1000.0,Integrated,Intel Core,379899.0
Lenovo,16.0,Grey,16,1000.0,Intel Iris Xe,Intel Core,73990.0
Apple,16.2,Silver,24,512.0,Integrated,M4 Pro,234990.0
Apple,14.2,Grey,8,512.0,Integrated,M3,109994.0
acer,14.0,Blue,16,1000.0,Integrated,Intel Core,104990.0
DELL,16.3,Silver,32,1000.0,Integrated,Intel Core,327199.0
SAMSUNG,14.0,Gray,16,1000.0,Integrated,Intel Core,145990.0
SAMSUNG,14.0,Gray,16,512.0,Integrated,Intel Core,139990.0
SAMSUNG,14.0,Gray,32,1000.0,Integrated,Intel Core,171990.0
DELL,15.6,Silver,16,512.0,Integrated,Intel Core,61990.0
